Data,Abertura
12/03/2021 10:00,"1,90"
15/03/2021 10:00,"1,90"
16/03/2021 10:00,"1,90"
17/03/2021 10:00,"1,90"
18/03/2021 10:00,"2,65"
19/03/2021 10:00,"2,65"
22/03/2021 10:00,"2,65"
23/03/2021 10:00,"2,65"
24/03/2021 10:00,"2,65"
25/03/2021 10:00,"2,65"
26/03/2021 10:00,"2,65"
29/03/2021 10:00,"2,65"
30/03/2021 10:00,"2,65"
31/03/2021 10:00,"2,65"
01/04/2021 10:00,"2,65"
05/04/2021 10:00,"2,65"
06/04/2021 10:00,"2,65"
07/04/2021 10:00,"2,65"
08/04/2021 10:00,"2,65"
09/04/2021 10:00,"2,65"
12/04/2021 10:00,"2,65"
13/04/2021 10:00,"2,65"
14/04/2021 10:00,"2,65"
15/04/2021 10:00,"2,65"
16/04/2021 10:00,"2,65"
19/04/2021 10:00,"2,65"
20/04/2021 10:00,"2,65"
22/04/2021 10:00,"2,65"
23/04/2021 10:00,"2,65"
26/04/2021 10:00,"2,65"
27/04/2021 10:00,"2,65"
28/04/2021 10:00,"2,65"
29/04/2021 10:00,"2,65"
30/04/2021 10:00,"2,65"
03/05/2021 10:00,"2,65"
04/05/2021 10:00,"2,65"
05/05/2021 10:00,"2,65"
06/05/2021 10:00,"3,40"
07/05/2021 10:00,"3,40"
10/05/2021 10:00,"3,40"
11/05/2021 10:00,"3,40"
12/05/2021 10:00,"3,40"
